date,probability
2007-12-31,0.2892923355102539
2008-01-31,0.4785626530647278
2008-02-29,0.14221970736980438
2008-03-31,0.43353986740112305
2008-04-30,0.2932647168636322
2008-05-31,0.3648850619792938
2008-06-30,0.7169976234436035
2008-07-31,0.6136891841888428
2008-08-31,0.10666751116514206
2008-09-30,0.12794113159179688
2008-10-31,0.5009758472442627
2008-11-30,0.45036885142326355
2008-12-31,0.17177581787109375
2009-01-31,0.5529868602752686
2009-02-28,0.7048647403717041
2009-03-31,0.6057350635528564
2009-04-30,0.182128444314003
2009-05-31,0.39735254645347595
2009-06-30,0.1042511910200119
2009-07-31,0.6046650409698486
2009-08-31,0.3965063691139221
2009-09-30,0.3823997974395752
2009-10-31,0.16562651097774506
2009-11-30,0.3838726580142975
2009-12-31,0.3503837287425995
2010-01-31,0.22478684782981873
2010-02-28,0.11957345902919769
2010-03-31,0.5709332227706909
2010-04-30,0.04987328127026558
2010-05-31,0.7081170082092285
2010-06-30,0.6143350601196289
2010-07-31,0.28236472606658936
2010-08-31,0.7479997277259827
2010-09-30,0.2185358703136444
2010-10-31,0.5369892716407776
2010-11-30,0.048297248780727386
2010-12-31,0.034256864339113235
2011-01-31,0.011089706793427467
2011-02-28,0.056640271097421646
2011-03-31,0.12266132980585098
2011-04-30,0.2108457088470459
2011-05-31,0.026377061381936073
2011-06-30,0.021603915840387344
2011-07-31,0.0617472343146801
2011-08-31,0.9586895108222961
2011-09-30,0.9658321738243103
2011-10-31,0.9396847486495972
2011-11-30,0.3585182726383209
2011-12-31,0.38097500801086426
2012-01-31,0.11929048597812653
2012-02-29,0.1692400872707367
2012-03-31,0.04510815441608429
2012-04-30,0.03703250735998154
2012-05-31,0.3901667296886444
2012-06-30,0.24327786266803741
2012-07-31,0.17982611060142517
2012-08-31,0.2518278956413269
2012-09-30,0.0951598733663559
2012-10-31,0.031109416857361794
2012-11-30,0.00941598229110241
2012-12-31,0.07794973254203796
2013-01-31,0.1637679636478424
2013-02-28,0.028536885976791382
2013-03-31,0.09600746631622314
2013-04-30,0.06566189229488373
2013-05-31,0.003001807490363717
2013-06-30,0.012334148399531841
2013-07-31,0.044518254697322845
2013-08-31,0.02956908382475376
2013-09-30,0.205028235912323
2013-10-31,0.5294283628463745
2013-11-30,0.48474353551864624
2013-12-31,0.1496206670999527
2014-01-31,0.15654738247394562
2014-02-28,0.07445588707923889
2014-03-31,0.19603928923606873
2014-04-30,0.13697750866413116
2014-05-31,0.3008459210395813
2014-06-30,0.6277152895927429
2014-07-31,0.8945782780647278
2014-08-31,0.6267457604408264
2014-09-30,0.8847309947013855
2014-10-31,0.10333563387393951
2014-11-30,0.08608754724264145
2014-12-31,0.13380210101604462
2015-01-31,0.10410664975643158
2015-02-28,0.1611877828836441
2015-03-31,0.23460395634174347
2015-04-30,0.7425476908683777
2015-05-31,0.9525529742240906
2015-06-30,0.6698020696640015
2015-07-31,0.6061503887176514
2015-08-31,0.9392600059509277
2015-09-30,0.7665117383003235
2015-10-31,0.4875061511993408
2015-11-30,0.39501312375068665
2015-12-31,0.12794820964336395
2016-01-31,0.08810120075941086
2016-02-29,0.11851270496845245
2016-03-31,0.20333433151245117
2016-04-30,0.5921412706375122
2016-05-31,0.8063361048698425
2016-06-30,0.09358670562505722
2016-07-31,0.1165061816573143
2016-08-31,0.2835211753845215
2016-09-30,0.6468027234077454
2016-10-31,0.46128591895103455
2016-11-30,0.7022908926010132
2016-12-31,0.14703357219696045
2017-01-31,0.1169828474521637
2017-02-28,0.12406373023986816
2017-03-31,0.1660572737455368
2017-04-30,0.42675185203552246
2017-05-31,0.09877271950244904
2017-06-30,0.12237769365310669
2017-07-31,0.2982132136821747
2017-08-31,0.1599815934896469
2017-09-30,0.09723811596632004
2017-10-31,0.08600984513759613
2017-11-30,0.06839607656002045
2017-12-31,0.10327763855457306
2018-01-31,0.30803972482681274
2018-02-28,0.014633274637162685
2018-03-31,0.023103727027773857
2018-04-30,0.0270305797457695
2018-05-31,0.02449694089591503
2018-06-30,0.4873705208301544
2018-07-31,0.16832484304904938
2018-08-31,0.049894850701093674
2018-09-30,0.11427527666091919
2018-10-31,0.24771851301193237
2018-11-30,0.3341459631919861
2018-12-31,0.7217776775360107
2019-01-31,0.4989144504070282
2019-02-28,0.02741600200533867
2019-03-31,0.23805291950702667
2019-04-30,0.01650022715330124
2019-05-31,0.7604243755340576
2019-06-30,0.39314261078834534
2019-07-31,0.28495538234710693
2019-08-31,0.03325764089822769
2019-09-30,0.029383162036538124
2019-10-31,0.12664976716041565
2019-11-30,0.1916029006242752
2019-12-31,0.10353951156139374
2020-01-31,0.2016780525445938
2020-02-29,0.5521656274795532
2020-03-31,0.6504136919975281
2020-04-30,0.7810901999473572
2020-05-31,0.713712215423584
2020-06-30,0.9090340733528137
2020-07-31,0.48631879687309265
2020-08-31,0.7814211845397949
2020-09-30,0.33146166801452637
2020-10-31,0.38867807388305664
2020-11-30,0.18674048781394958
2020-12-31,0.35963964462280273
2021-01-31,0.7384225726127625
2021-02-28,0.6142669320106506
2021-03-31,0.5138721466064453
2021-04-30,0.3277702033519745
2021-05-31,0.7199106216430664
2021-06-30,0.710884153842926
2021-07-31,0.37258949875831604
2021-08-31,0.6203047633171082
2021-09-30,0.559759259223938
2021-10-31,0.29853156208992004
2021-11-30,0.798797607421875
2021-12-31,0.3045685887336731
2022-01-31,0.3536926507949829
2022-02-28,0.5429636836051941
2022-03-31,0.11393022537231445
2022-04-30,0.3948741555213928
2022-05-31,0.10769931226968765
2022-06-30,0.5317089557647705
2022-07-31,0.3026730418205261
2022-08-31,0.639876663684845
2022-09-30,0.2426181584596634
2022-10-31,0.05040058121085167
2022-11-30,0.03851071372628212
2022-12-31,0.20151033997535706
2023-01-31,0.1818813979625702
2023-02-28,0.08231666684150696
2023-03-31,0.3090013563632965
2023-04-30,0.04995341971516609
2023-05-31,0.1514347344636917
2023-06-30,0.25103217363357544
2023-07-31,0.30195900797843933
2023-08-31,0.1694203019142151
2023-09-30,0.22102686762809753
2023-10-31,0.510170042514801
2023-11-30,0.06476499885320663
2023-12-31,0.27639225125312805
2024-01-31,0.23974479734897614
2024-02-29,0.4279983341693878
2024-03-31,0.5530911087989807
2024-04-30,0.2844920754432678
2024-05-31,0.18833686411380768
2024-06-30,0.14740967750549316
2024-07-31,0.5702915191650391
2024-08-31,0.09025967866182327
2024-09-30,0.2549307942390442
2024-10-31,0.15688101947307587
2024-11-30,0.7086259722709656
2024-12-31,0.20959453284740448
2025-01-31,0.17359225451946259
2025-02-28,0.16270329058170319
2025-03-31,0.6897880434989929
2025-04-30,0.5921158194541931
2025-05-31,0.48706966638565063
2025-06-30,0.3393804728984833
2025-07-31,0.44020500779151917
2025-08-31,0.3200463056564331
2025-09-30,0.5716131329536438
2025-10-31,0.5227643847465515
2025-11-30,0.10834253579378128
