portfolio,total_return_pa,volatility_pa,max_drawdown,sharpe,calmar,ips_objective,ips_pass,source
H1 xgb+lstm,0.095193634186625,0.0911366175298666,-0.1871968379680142,0.824176593760402,0.50852159267183,18.313982131125584,3,Hybrid autoresearch
H1 xgb+transformer,0.08991586060536,0.1009535480060193,-0.2573761745622148,0.7061191309286114,0.3493558048187749,1027.5790036525088,2,Hybrid autoresearch
H3 xgb+transformer,0.0883223818913836,0.102607279510037,-0.3043645307839323,0.6825302081221654,0.2901861845199153,1037.301395918652,2,Hybrid autoresearch
H4 xgb+transformer,0.0898571699635881,0.102406448540737,-0.3054995939932796,0.6974465372988498,0.2941318801411069,1037.354846656371,2,Hybrid autoresearch
H4 xgb+lstm,0.0882613942785226,0.102618824032808,-0.3054995939932796,0.681925609729872,0.2889083848683092,1037.5356617740845,2,Hybrid autoresearch
H2 xgb+transformer,0.0897584379520559,0.1116605115174535,-0.3054995939932795,0.6477621125801355,0.2938086980044578,1038.2901261551956,2,Hybrid autoresearch
H2 xgb+lstm,0.0938797041088517,0.1128305107629493,-0.3094419800162913,0.6756746633818635,0.3033838657053228,1038.783476668668,2,Hybrid autoresearch
H3 xgb+lstm,0.0828878155657451,0.101484612421273,-0.3105614418510444,0.639603986502665,0.2668966729150518,1038.9719680557616,2,Hybrid autoresearch
