hypothesis,model,asset_setup,assets,seq_len,threshold,taa_band,risk_aversion,bl_tau,regime_view_scale,ips_pass,ips_objective,return_pa,vol_pa,max_dd,sharpe,calmar,delta_dd,delta_ret,n_signals_fired,elapsed_seconds,status
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,2.0,3,18.697694800727465,0.0948751053191701,0.0913150637205376,-0.1905369896059071,0.8195691582559712,0.4979353642324404,0.1148820439053911,0.0099311806677078,61,10.846177577972412,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,2.0,3,18.697694800727465,0.0948751053191701,0.0913150637205376,-0.1905369896059071,0.8195691582559712,0.4979353642324404,0.1148820439053911,0.0099311806677078,61,11.901330709457396,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,2.0,3,19.002227361072837,0.0923836642100148,0.0918689482148365,-0.1905369896059067,0.7903770251664441,0.4848594721743779,0.1148820439053915,0.0074397395585525,53,12.661842107772827,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,2.0,3,19.002227361072837,0.0923836642100148,0.0918689482148365,-0.1905369896059067,0.7903770251664441,0.4848594721743779,0.1148820439053915,0.0074397395585525,53,10.927664518356323,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.5,3,19.730653133374894,0.0973182446669387,0.0929237556805398,-0.2017010203201478,0.8309926279788782,0.4824876171299053,0.1037180131911504,0.0123743200154764,61,11.827784061431885,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.5,3,19.730653133374894,0.0973182446669387,0.0929237556805398,-0.2017010203201478,0.8309926279788782,0.4824876171299053,0.1037180131911504,0.0123743200154764,61,12.988842487335203,discard
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,1.5,3,19.94712931647525,0.0955270995120818,0.0932973723566868,-0.2017010203201475,0.8105239227083116,0.473607418348492,0.1037180131911507,0.0105831748606195,53,11.489581823349,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,1.5,3,19.94712931647525,0.0955270995120818,0.0932973723566868,-0.2017010203201475,0.8105239227083116,0.473607418348492,0.1037180131911507,0.0105831748606195,53,13.099000215530396,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.0,3,21.31231482529613,0.095697612828852,0.095130498810977,-0.2136902622708363,0.7983834206595498,0.4478332882925779,0.0917287712404619,0.0107536881773897,61,10.82039761543274,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,1.0,3,21.31231482529613,0.095697612828852,0.095130498810977,-0.2136902622708363,0.7983834206595498,0.4478332882925779,0.0917287712404619,0.0107536881773897,61,13.06125521659851,discard
