hypothesis,model,asset_setup,assets,seq_len,threshold,taa_band,risk_aversion,bl_tau,regime_view_scale,ips_pass,ips_objective,return_pa,vol_pa,max_dd,sharpe,calmar,delta_dd,delta_ret,n_signals_fired,elapsed_seconds,status
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.5,0.5,4.0,0.05,0.5,2,1026.600067047345,0.09788146544448839,0.1005064672170715,-0.25668783435043285,0.781065217416464,0.3813249104391119,0.048731199160865435,0.012937540793026114,61,12.798576354980469,keep
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1026.6813571517596,0.0968188661369624,0.1002567689536911,-0.2566878343504329,0.7730949901001943,0.3771852545406741,0.0487311991608653,0.0118749414855001,53,15.605644702911375,keep
h1,xgb_lstm,policy_plus_bitcoin,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1026.6813571517596,0.09681886613696244,0.10025676895369118,-0.25668783435043296,0.7730949901001943,0.3771852545406741,0.048731199160865324,0.011874941485500168,53,11.990036249160767,discard
h1,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1026.6813571517596,0.09681886613696244,0.10025676895369118,-0.25668783435043296,0.7730949901001943,0.3771852545406741,0.048731199160865324,0.011874941485500168,53,11.090675115585327,discard
h1,xgb_transformer,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1029.13581366661,0.0918970829136118,0.1003275085906983,-0.2664638554945071,0.7278474685262741,0.3448763538419425,0.0389551780167911,0.0069531582621495,53,14.865991353988647,keep
h3,xgb_transformer,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1034.0843717798118,0.0916878134087502,0.1028883122811639,-0.2898216094628524,0.7109645187778546,0.3163594791246999,0.0155974240484458,0.0067438887572879,49,15.460840225219728,keep
h3,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1037.0959464135829,0.0835146275463736,0.1020286440072594,-0.3012227238374717,0.6424048629191099,0.2772520827194794,0.0041963096738265,-0.0014292971050886,49,13.235302925109863,keep
h4,xgb_transformer,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1037.4859314746634,0.0884337964984967,0.1022939232587737,-0.3054995939931786,0.6853212223442858,0.289472713670681,-8.488097317960186e-05,0.001625495557499,11,15.94188666343689,keep
h4,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1037.504193179427,0.0885922614000085,0.1026350052079196,-0.3054995939931786,0.6847970556064561,0.2899914210752983,-8.488097317960186e-05,0.0017839604590108,11,11.928896188735962,keep
h2,xgb_transformer,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1038.5753094796785,0.0945740050696406,0.1114431398790285,-0.3094419799936984,0.6883195950463205,0.3056275850857941,0.0013374252114666,0.007403019296905,47,16.268672943115234,keep
h2,xgb_lstm,ips_available,"US Equity,US Treasuries,US TIPS,US REITs,Gold,Bitcoin",6,0.55,0.5,4.0,0.05,0.5,2,1038.7179362736736,0.0945834563424281,0.1128788590917673,-0.3094419799936984,0.6811356946703884,0.3056581280418199,0.0013374252114666,0.0074124705696925,47,13.721617460250854,keep
h1,xgb_lstm,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.55,0.5,4.0,0.05,0.5,1,2030.6167280374643,0.06778929116428012,0.0964470301643846,-0.2576494162694095,0.5215733353050933,0.26310671355605425,0.04776961724188877,-0.002887016220255889,53,10.768024682998657,discard
h1,xgb_lstm,policy_core,"US Equity,US Treasuries,US TIPS,US REITs,Gold",6,0.5,0.5,4.0,0.05,0.5,1,2030.8583660708791,0.06639643764766157,0.09607770346529668,-0.25764941626940896,0.509618063762581,0.2577007105587023,0.04776961724188933,-0.004279869736874442,61,12.490111827850342,discard
