portfolio,ips_pass,ips_objective,return_pa,vol_pa,max_dd,sharpe,calmar,threshold,taa_band,regime_view_scale,n_signals_fired,status,return_gap_vs_8pct,vol_gap_vs_15pct,dd_gap_vs_-25pct
H1 xgb+lstm,3,18.313982131125584,0.095193634186625,0.0911366175298666,-0.1871968379680142,0.824176593760402,0.50852159267183,0.5,0.5,2.0,61,keep,0.015193634186625005,0.058863382470133396,0.0628031620319858
H1 xgb+transformer,2,1027.5790036525088,0.08991586060536,0.1009535480060193,-0.2573761745622148,0.7061191309286114,0.3493558048187749,0.55,0.5,0.5,53,keep,0.009915860605359997,0.049046451993980694,-0.007376174562214788
H3 xgb+transformer,2,1037.301395918652,0.0883223818913836,0.102607279510037,-0.3043645307839323,0.6825302081221654,0.2901861845199153,0.55,0.5,0.5,49,keep,0.008322381891383596,0.047392720489963,-0.054364530783932274
H4 xgb+transformer,2,1037.354846656371,0.0898571699635881,0.102406448540737,-0.3054995939932796,0.6974465372988498,0.2941318801411069,0.55,0.5,0.5,11,keep,0.009857169963588097,0.047593551459263,-0.05549959399327958
H4 xgb+lstm,2,1037.5356617740845,0.0882613942785226,0.102618824032808,-0.3054995939932796,0.681925609729872,0.2889083848683092,0.55,0.5,0.5,11,keep,0.008261394278522599,0.04738117596719199,-0.05549959399327958
H2 xgb+transformer,2,1038.2901261551956,0.0897584379520559,0.1116605115174535,-0.3054995939932795,0.6477621125801355,0.2938086980044578,0.55,0.5,0.5,47,keep,0.009758437952055901,0.038339488482546494,-0.05549959399327947
H2 xgb+lstm,2,1038.783476668668,0.0938797041088517,0.1128305107629493,-0.3094419800162913,0.6756746633818635,0.3033838657053228,0.55,0.5,0.5,47,keep,0.013879704108851698,0.0371694892370507,-0.05944198001629131
H3 xgb+lstm,2,1038.9719680557616,0.0828878155657451,0.101484612421273,-0.3105614418510444,0.639603986502665,0.2668966729150518,0.55,0.5,0.5,49,keep,0.0028878155657450916,0.04851538757872699,-0.060561441851044395
