decision_date,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,min_child_weight,reg_lambda
2007-12-31,2,0.05,60,0.8,0.8,4,2.0
2008-12-31,2,0.05,60,0.8,0.8,4,2.0
2009-12-31,3,0.21872044074885752,220,0.65532341531143,0.9349553422213137,8,0.1332373179109876
2010-12-31,2,0.25457428523606546,206,0.7836098056603222,0.8936112071942273,2,0.5561085291185478
2011-12-30,4,0.06549260922295638,229,0.7696712289842729,0.9198213766428692,6,2.7168289873702833
2012-12-31,3,0.21872044074885752,220,0.65532341531143,0.9349553422213137,8,0.1332373179109876
2013-12-31,3,0.21872044074885752,220,0.65532341531143,0.9349553422213137,8,0.1332373179109876
2014-12-31,5,0.1435165154344137,177,0.7403725339596576,0.7640415835413256,3,0.673344419215237
2015-12-31,4,0.06549260922295638,229,0.7696712289842729,0.9198213766428692,6,2.7168289873702833
2016-12-30,4,0.0318541951741367,145,0.9023202131343526,0.9249583953429453,7,0.1552065618292981
2017-12-31,4,0.06549260922295638,229,0.7696712289842729,0.9198213766428692,6,2.7168289873702833
2018-12-31,4,0.0318541951741367,145,0.9023202131343526,0.9249583953429453,7,0.1552065618292981
2019-12-31,4,0.06549260922295638,229,0.7696712289842729,0.9198213766428692,6,2.7168289873702833
2020-12-31,4,0.06549260922295638,229,0.7696712289842729,0.9198213766428692,6,2.7168289873702833
2021-12-31,3,0.21872044074885752,220,0.65532341531143,0.9349553422213137,8,0.1332373179109876
2022-12-31,4,0.0318541951741367,145,0.9023202131343526,0.9249583953429453,7,0.1552065618292981
2023-12-31,3,0.21872044074885752,220,0.65532341531143,0.9349553422213137,8,0.1332373179109876
2024-12-31,4,0.0318541951741367,145,0.9023202131343526,0.9249583953429453,7,0.1552065618292981
2025-12-31,4,0.0318541951741367,145,0.9023202131343526,0.9249583953429453,7,0.1552065618292981
