subset,n_features,threshold,signals,return_pa,volatility_pa,max_drawdown,var95
market_only,9,0.45,11,0.04454431221789368,0.06649856256297501,-0.2006065222779344,-0.005884421426363243
no_macro,9,0.45,11,0.04454431221789368,0.06649856256297501,-0.2006065222779344,-0.005884421426363243
market_only,9,0.4,14,0.043161563482651655,0.06425656247306287,-0.20060652227793585,-0.005579406379026652
no_macro,9,0.4,14,0.043161563482651655,0.06425656247306287,-0.20060652227793585,-0.005579406379026652
no_rates,12,0.35,15,0.03726272951765175,0.05640146991393696,-0.20060652227793585,-0.005221410296313384
market_only,9,0.3,16,0.040043635272620115,0.0635309978793989,-0.20060652227793607,-0.005529420575811839
market_only,9,0.35,16,0.040043635272620115,0.0635309978793989,-0.20060652227793607,-0.005529420575811839
no_macro,9,0.3,16,0.040043635272620115,0.0635309978793989,-0.20060652227793607,-0.005529420575811839
no_macro,9,0.35,16,0.040043635272620115,0.0635309978793989,-0.20060652227793607,-0.005529420575811839
market_only,9,0.25,17,0.036976191717323026,0.055864114565826,-0.20060652227793618,-0.0051160141006978774
no_macro,9,0.25,17,0.036976191717323026,0.055864114565826,-0.20060652227793618,-0.0051160141006978774
no_rates,12,0.25,17,0.036976191717323026,0.055864114565826,-0.20060652227793618,-0.0051160141006978774
no_rates,12,0.3,17,0.036976191717323026,0.055864114565826,-0.20060652227793618,-0.0051160141006978774
no_credit,12,0.45,10,0.037844148852017145,0.07145367408393459,-0.21218611761309392,-0.00574132172922683
no_credit,12,0.4,11,0.03617324443754355,0.07117933627284909,-0.21218611761309392,-0.00574132172922683
full,13,0.35,14,0.03282093646063022,0.0643125337813604,-0.21218611761309392,-0.00551635449172643
no_credit,12,0.35,14,0.03282093646063022,0.0643125337813604,-0.21218611761309392,-0.00551635449172643
no_corr,12,0.35,14,0.03282093646063022,0.0643125337813604,-0.21218611761309392,-0.00551635449172643
no_def_rel,11,0.35,14,0.03282093646063022,0.0643125337813604,-0.21218611761309392,-0.00551635449172643
full,13,0.25,16,0.03253562567981705,0.06384172824845932,-0.21218611761309392,-0.005450266043505909
no_corr,12,0.25,16,0.03253562567981705,0.06384172824845932,-0.21218611761309392,-0.005450266043505909
no_def_rel,11,0.25,16,0.03253562567981705,0.06384172824845932,-0.21218611761309392,-0.005450266043505909
full,13,0.3,15,0.0324663928652289,0.0641343807205243,-0.21218611761309392,-0.00546365813811246
no_corr,12,0.3,15,0.0324663928652289,0.0641343807205243,-0.21218611761309392,-0.00546365813811246
no_def_rel,11,0.3,15,0.0324663928652289,0.0641343807205243,-0.21218611761309392,-0.00546365813811246
no_bitcoin,11,0.35,16,0.0282266158747424,0.06665757012880226,-0.2122676517135068,-0.005365632288249569
vix_yield_only,3,0.4,12,0.03094180836855065,0.07022183929692104,-0.21226765171350748,-0.005720709624379149
full,13,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
macro_only,4,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
macro_only,4,0.25,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
vix_yield_only,3,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
vix_yield_only,3,0.25,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
vix_yield_only,3,0.3,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
vix_yield_credit,4,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
vix_yield_credit,4,0.25,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
stress_only,7,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
stress_only,7,0.25,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
no_bitcoin,11,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
no_bitcoin,11,0.25,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
no_credit,12,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
no_corr,12,0.2,18,0.028123719755417387,0.059918626012995586,-0.2122676517135076,-0.005104416857006709
