rule,signals,return_pa,volatility_pa,max_drawdown,var95
current_logit_025,15,0.03220699817636219,0.04767989823205892,-0.2006065222779364,-0.004758761531127596
inv6_or_vix12max_20,12,0.028037434962832286,0.05792871678348709,-0.21226765171350725,-0.005151361911990518
inv12_or_vix12max_20,12,0.028037434962832286,0.05792871678348709,-0.21226765171350725,-0.005151361911990518
inv18_or_vix12max_20,12,0.028037434962832286,0.05792871678348709,-0.21226765171350725,-0.005151361911990518
inv24_or_vix12max_20,12,0.028037434962832286,0.05792871678348709,-0.21226765171350725,-0.005151361911990518
inv6_or_vix12max_22.5,11,0.028465592180921373,0.05816790035367287,-0.2122676517135076,-0.005163854607361457
inv12_or_vix12max_22.5,11,0.028465592180921373,0.05816790035367287,-0.2122676517135076,-0.005163854607361457
inv18_or_vix12max_22.5,11,0.028465592180921373,0.05816790035367287,-0.2122676517135076,-0.005163854607361457
inv24_or_vix12max_22.5,11,0.028465592180921373,0.05816790035367287,-0.2122676517135076,-0.005163854607361457
inv6_or_vix12max_30,7,0.034551379766949886,0.0595477455415965,-0.2122676517135078,-0.005285717709684045
inv12_or_vix12max_30,7,0.034551379766949886,0.0595477455415965,-0.2122676517135078,-0.005285717709684045
inv18_or_vix12max_30,8,0.034118181085701416,0.05944311615604303,-0.2122676517135078,-0.005272481770636962
inv24_or_vix12max_30,8,0.034118181085701416,0.05944311615604303,-0.2122676517135078,-0.005272481770636962
inv6_or_vix12max_27.5,8,0.034027795108412695,0.05908899245467454,-0.2122676517135078,-0.0052491007423627065
inv12_or_vix12max_27.5,8,0.034027795108412695,0.05908899245467454,-0.2122676517135078,-0.0052491007423627065
inv18_or_vix12max_27.5,9,0.033594815668265054,0.05898353404375462,-0.2122676517135078,-0.00523226020559368
inv24_or_vix12max_27.5,9,0.033594815668265054,0.05898353404375462,-0.2122676517135078,-0.00523226020559368
inv6_or_vix6max_20,9,0.030901339796179483,0.05868178759553088,-0.21226765171350803,-0.0051766644907801284
inv6_or_vix6max_22.5,9,0.030901339796179483,0.05868178759553088,-0.21226765171350803,-0.0051766644907801284
inv6_or_vix12max_25,9,0.030901339796179483,0.05868178759553088,-0.21226765171350803,-0.0051766644907801284
inv6_or_vix6max_25,9,0.030901339796179483,0.05868178759553088,-0.21226765171350803,-0.0051766644907801284
inv12_or_vix6max_20,9,0.030901339796179483,0.05868178759553088,-0.21226765171350803,-0.0051766644907801284
inv12_or_vix6max_22.5,9,0.030901339796179483,0.05868178759553088,-0.21226765171350803,-0.0051766644907801284
inv12_or_vix12max_25,9,0.030901339796179483,0.05868178759553088,-0.21226765171350803,-0.0051766644907801284
inv12_or_vix6max_25,9,0.030901339796179483,0.05868178759553088,-0.21226765171350803,-0.0051766644907801284
inv18_or_vix6max_20,10,0.03046966949963248,0.0585755081534874,-0.21226765171350803,-0.005163854607361457
inv18_or_vix6max_22.5,10,0.03046966949963248,0.0585755081534874,-0.21226765171350803,-0.005163854607361457
inv18_or_vix12max_25,10,0.03046966949963248,0.0585755081534874,-0.21226765171350803,-0.005163854607361457
inv18_or_vix6max_25,10,0.03046966949963248,0.0585755081534874,-0.21226765171350803,-0.005163854607361457
inv24_or_vix6max_20,10,0.03046966949963248,0.0585755081534874,-0.21226765171350803,-0.005163854607361457
inv24_or_vix6max_22.5,10,0.03046966949963248,0.0585755081534874,-0.21226765171350803,-0.005163854607361457
inv24_or_vix12max_25,10,0.03046966949963248,0.0585755081534874,-0.21226765171350803,-0.005163854607361457
inv24_or_vix6max_25,10,0.03046966949963248,0.0585755081534874,-0.21226765171350803,-0.005163854607361457
inv6_and_vix3max_27.5,0,0.044630592897344945,0.07028193731577437,-0.22023768846023706,-0.006232836648630812
inv6_and_vix3max_30,0,0.044630592897344945,0.07028193731577437,-0.22023768846023706,-0.006232836648630812
inv12_and_vix3max_27.5,0,0.044630592897344945,0.07028193731577437,-0.22023768846023706,-0.006232836648630812
inv12_and_vix3max_30,0,0.044630592897344945,0.07028193731577437,-0.22023768846023706,-0.006232836648630812
inv18_and_vix3max_27.5,0,0.044630592897344945,0.07028193731577437,-0.22023768846023706,-0.006232836648630812
inv18_and_vix3max_30,0,0.044630592897344945,0.07028193731577437,-0.22023768846023706,-0.006232836648630812
inv24_and_vix3max_27.5,0,0.044630592897344945,0.07028193731577437,-0.22023768846023706,-0.006232836648630812
inv24_and_vix3max_30,0,0.044630592897344945,0.07028193731577437,-0.22023768846023706,-0.006232836648630812
inv6_and_vix6max_20,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv6_and_vix3max_20,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv6_and_vix12max_22.5,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv6_and_vix6max_22.5,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv6_and_vix3max_22.5,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv12_and_vix6max_20,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv12_and_vix3max_20,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv12_and_vix12max_22.5,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
inv12_and_vix6max_22.5,2,0.0430921494191181,0.06861635304066385,-0.22023768846023706,-0.005962396890420432
