feature_config_id,window_profile,families,feature_count,feature_columns
short__defensive_relative__macro_spot__macro_memory__crypto,short,"defensive_relative,macro_spot,macro_memory,crypto",11,"baa10y,baa_widen_6m,bitcoin_available,bitcoin_mom_1m,gold_rel_mom_3m,inv_6m_any,jpy_rel_mom_3m,t10y2y,vix_6m_max,vix_change_1m,vixcls"
short__market_core__defensive_relative__macro_spot__macro_memory__crypto,short,"market_core,defensive_relative,macro_spot,macro_memory,crypto",15,"avg_corr_3m,baa10y,baa_widen_6m,bitcoin_available,bitcoin_mom_1m,equity_drawdown_3m,gold_rel_mom_3m,inv_6m_any,jpy_rel_mom_3m,spx_mom_1m,spx_vol_3m,t10y2y,vix_6m_max,vix_change_1m,vixcls"
medium__market_core,medium,market_core,4,"avg_corr_6m,equity_drawdown_6m,spx_mom_3m,spx_vol_6m"
medium__defensive_relative,medium,defensive_relative,2,"gold_rel_mom_6m,jpy_rel_mom_6m"
medium__macro_spot,medium,macro_spot,4,"baa10y,t10y2y,vix_change_3m,vixcls"
medium__macro_memory,medium,macro_memory,3,"baa_widen_12m,inv_12m_any,vix_12m_max"
medium__crypto,medium,crypto,2,"bitcoin_available,bitcoin_mom_3m"
medium__market_core__defensive_relative,medium,"market_core,defensive_relative",6,"avg_corr_6m,equity_drawdown_6m,gold_rel_mom_6m,jpy_rel_mom_6m,spx_mom_3m,spx_vol_6m"
medium__market_core__macro_spot,medium,"market_core,macro_spot",8,"avg_corr_6m,baa10y,equity_drawdown_6m,spx_mom_3m,spx_vol_6m,t10y2y,vix_change_3m,vixcls"
medium__market_core__macro_memory,medium,"market_core,macro_memory",7,"avg_corr_6m,baa_widen_12m,equity_drawdown_6m,inv_12m_any,spx_mom_3m,spx_vol_6m,vix_12m_max"
medium__market_core__crypto,medium,"market_core,crypto",6,"avg_corr_6m,bitcoin_available,bitcoin_mom_3m,equity_drawdown_6m,spx_mom_3m,spx_vol_6m"
medium__defensive_relative__macro_spot,medium,"defensive_relative,macro_spot",6,"baa10y,gold_rel_mom_6m,jpy_rel_mom_6m,t10y2y,vix_change_3m,vixcls"
medium__defensive_relative__macro_memory,medium,"defensive_relative,macro_memory",5,"baa_widen_12m,gold_rel_mom_6m,inv_12m_any,jpy_rel_mom_6m,vix_12m_max"
medium__defensive_relative__crypto,medium,"defensive_relative,crypto",4,"bitcoin_available,bitcoin_mom_3m,gold_rel_mom_6m,jpy_rel_mom_6m"
medium__macro_spot__macro_memory,medium,"macro_spot,macro_memory",7,"baa10y,baa_widen_12m,inv_12m_any,t10y2y,vix_12m_max,vix_change_3m,vixcls"
medium__macro_spot__crypto,medium,"macro_spot,crypto",6,"baa10y,bitcoin_available,bitcoin_mom_3m,t10y2y,vix_change_3m,vixcls"
medium__macro_memory__crypto,medium,"macro_memory,crypto",5,"baa_widen_12m,bitcoin_available,bitcoin_mom_3m,inv_12m_any,vix_12m_max"
medium__market_core__defensive_relative__macro_spot,medium,"market_core,defensive_relative,macro_spot",10,"avg_corr_6m,baa10y,equity_drawdown_6m,gold_rel_mom_6m,jpy_rel_mom_6m,spx_mom_3m,spx_vol_6m,t10y2y,vix_change_3m,vixcls"
medium__market_core__defensive_relative__macro_memory,medium,"market_core,defensive_relative,macro_memory",9,"avg_corr_6m,baa_widen_12m,equity_drawdown_6m,gold_rel_mom_6m,inv_12m_any,jpy_rel_mom_6m,spx_mom_3m,spx_vol_6m,vix_12m_max"
medium__market_core__defensive_relative__crypto,medium,"market_core,defensive_relative,crypto",8,"avg_corr_6m,bitcoin_available,bitcoin_mom_3m,equity_drawdown_6m,gold_rel_mom_6m,jpy_rel_mom_6m,spx_mom_3m,spx_vol_6m"
medium__market_core__macro_spot__macro_memory,medium,"market_core,macro_spot,macro_memory",11,"avg_corr_6m,baa10y,baa_widen_12m,equity_drawdown_6m,inv_12m_any,spx_mom_3m,spx_vol_6m,t10y2y,vix_12m_max,vix_change_3m,vixcls"
medium__market_core__macro_spot__crypto,medium,"market_core,macro_spot,crypto",10,"avg_corr_6m,baa10y,bitcoin_available,bitcoin_mom_3m,equity_drawdown_6m,spx_mom_3m,spx_vol_6m,t10y2y,vix_change_3m,vixcls"
medium__market_core__macro_memory__crypto,medium,"market_core,macro_memory,crypto",9,"avg_corr_6m,baa_widen_12m,bitcoin_available,bitcoin_mom_3m,equity_drawdown_6m,inv_12m_any,spx_mom_3m,spx_vol_6m,vix_12m_max"
medium__defensive_relative__macro_spot__macro_memory,medium,"defensive_relative,macro_spot,macro_memory",9,"baa10y,baa_widen_12m,gold_rel_mom_6m,inv_12m_any,jpy_rel_mom_6m,t10y2y,vix_12m_max,vix_change_3m,vixcls"
medium__defensive_relative__macro_spot__crypto,medium,"defensive_relative,macro_spot,crypto",8,"baa10y,bitcoin_available,bitcoin_mom_3m,gold_rel_mom_6m,jpy_rel_mom_6m,t10y2y,vix_change_3m,vixcls"
medium__defensive_relative__macro_memory__crypto,medium,"defensive_relative,macro_memory,crypto",7,"baa_widen_12m,bitcoin_available,bitcoin_mom_3m,gold_rel_mom_6m,inv_12m_any,jpy_rel_mom_6m,vix_12m_max"
medium__macro_spot__macro_memory__crypto,medium,"macro_spot,macro_memory,crypto",9,"baa10y,baa_widen_12m,bitcoin_available,bitcoin_mom_3m,inv_12m_any,t10y2y,vix_12m_max,vix_change_3m,vixcls"
