decision_date,spx_mom_1m,bitcoin_mom_1m,spx_mom_3m,bitcoin_mom_3m,spx_mom_6m,bitcoin_mom_6m,spx_vol_1m,spx_vol_3m,spx_vol_6m,spx_vol_12m,gold_rel_mom_3m,jpy_rel_mom_3m,equity_drawdown_3m,avg_corr_3m,gold_rel_mom_6m,jpy_rel_mom_6m,equity_drawdown_6m,avg_corr_6m,gold_rel_mom_12m,jpy_rel_mom_12m,equity_drawdown_12m,avg_corr_12m,vixcls,t10y2y,baa10y,vix_change_1m,vix_change_3m,vix_change_6m,inv_6m_any,vix_6m_max,baa_widen_6m,inv_12m_any,vix_12m_max,baa_widen_12m,inv_18m_any,vix_18m_max,baa_widen_18m,bitcoin_available
2003-03-31,,,,,,,,,,,,,,,,,,,,,,,29.15,2.32,3.04,,,,0.0,,,0.0,,,0.0,,,0.0
2003-04-30,0.06937636495996125,,,,,,0.18460298916958828,,,,,,,,,,,,,,,,21.21,2.38,2.76,0.021676300578034713,0.019711538461538503,0.024637681159420444,0.0,,,0.0,,,0.0,,,0.0
2003-05-30,0.053224256275588466,,,,,,0.16265888921838123,,,,,,,,,,,,,,,,19.47,2.04,2.85,-0.0469897209985316,-0.026013006503251557,-0.01567239635995965,0.0,,,0.0,,,0.0,,,0.0
2003-06-30,0.012761187595205836,,0.11085890827698175,,,,0.15936374389851274,0.1601239320403337,,,-0.0610028694832252,-0.11787059442055436,-0.0362398118264865,-0.019529062346757324,,,,,,,,,19.52,2.22,2.81,0.018789144050104456,-0.06198942815953867,0.019853709508881767,0.0,,,0.0,,,0.0,,,0.0
2003-07-31,-0.00228156454114814,,0.07340747171166839,,,,0.1525179945413118,0.15590632649737507,,,-0.03805319851955735,-0.089998098007811,-0.019248126470105653,0.042793623849773026,,,,,,,,,19.49,2.69,2.58,0.03395225464190976,0.06154684095860552,0.04560085836909855,0.0,,,0.0,,,0.0,,,0.0
2003-08-29,0.01950039391214009,,0.04205117972763994,,,,0.10922610950438293,0.1421895347451935,,,-0.013851316620179244,-0.02237960942315831,-0.00012307860620319744,0.08975057507521152,,,,,,,,,18.63,2.5,2.46,0.008116883116882967,-0.04412519240636226,0.04428251121076232,0.0,,,0.0,,,0.0,,,0.0
2003-09-30,-0.01062025576147163,,0.014586562129637937,,0.1414449029183662,,0.1533344437193646,0.13691806420814637,0.1502275813070199,,0.08280771382081076,0.04532375177170733,-0.04153775828602091,0.05242900104735236,0.05140450119864348,-0.06763324372554114,-0.04153775828602091,0.017520435016107228,,,,,22.72,2.46,2.57,0.048454083987078844,0.0206648697214733,0.15623409669211208,0.0,27.13,-0.38000000000000034,0.0,,,0.0,,,0.0
2003-10-31,0.03120699425240825,,0.09310507572832183,,0.15157222280815397,,0.10359030235916342,0.12242704598388034,0.14157687338834746,,-0.001640795086367497,-0.002964999323009865,0.0,-0.005095906300748359,-0.04946409144432207,-0.08644579020855403,0.0,0.019678918007094898,,,,,16.1,2.48,2.36,-0.01408450704225328,-0.04280618311533879,-0.08936651583710398,0.0,22.72,-0.31000000000000005,0.0,,,0.0,,,0.0
2003-11-28,0.012441567309207535,,0.04010495005429626,,0.07788821786053779,,0.10827392190492488,0.12721235602551806,0.13396737729474176,,0.030334625157425688,0.023290106043487135,-0.00021395228215781437,-0.014651934468702794,0.001840595698784142,-0.004733059600937173,-0.00021395228215781437,0.03627608626941287,,,,,16.32,2.28,2.33,0.005545286506469571,-0.02333931777378817,-0.16221765913757702,0.0,22.72,-0.54,0.0,,,0.0,,,0.0
2003-12-31,0.04408075037634607,,0.08462093669803261,,0.11273834255507342,,0.09263575043667789,0.10152529696854408,0.12201849305360485,,0.03958417763020439,-0.05001918329381683,0.0,0.01899145304011951,0.09338736509480317,-0.010891672157759436,0.0,0.04309188596125503,,,,,18.31,2.43,2.34,0.0356334841628958,0.049283667621776495,0.11036992116434208,0.0,22.72,-0.3400000000000003,0.0,,,0.0,,,0.0
