date,return
2005-08-01,0.0013493270387861507
2005-08-02,0.0036016744020607567
2005-08-03,0.0031525267474943365
2005-08-04,-0.003937287156461296
2005-08-05,-0.0058338813070621534
2005-08-08,-0.004391349469417356
2005-08-09,0.0035296617919639366
2005-08-10,0.0013013429207937755
2005-08-11,0.008897373330318214
2005-08-12,-0.0019910215574652375
2005-08-15,-0.000513767094005044
2005-08-16,-0.0026553332402398017
2005-08-17,-0.0035674858135081675
2005-08-18,-0.0006196941354145688
2005-08-19,-0.0017971829999949406
2005-08-22,0.0022012621496911196
2005-08-23,-0.0007474191274216117
2005-08-24,-0.003502501596784457
2005-08-25,0.0019879627338657453
2005-08-26,-0.0041090830744658245
2005-08-29,0.0023756961885975703
2005-08-30,-0.0037938260636527312
2005-08-31,0.009823884835845146
2005-09-01,0.005492708883450924
2005-09-02,-0.0009142364567621277
2005-09-05,0.0005294560667373361
2005-09-06,0.005847812041230152
2005-09-07,0.0008994041474935518
2005-09-08,-0.00024288696585486017
2005-09-09,0.0049006808626950345
2005-09-12,-0.00036259348300134625
2005-09-13,-0.005168652188025808
2005-09-14,0.00042136014907569446
2005-09-15,0.0031394646527509815
2005-09-16,0.005634140357957859
2005-09-19,-0.0001676890214869285
2005-09-20,-0.004441944062312465
2005-09-21,-0.0002637429113228288
2005-09-22,-0.001317045176229618
2005-09-23,-0.0015260313115439397
2005-09-26,0.0019878170999684326
2005-09-27,-0.0023595211453885886
2005-09-28,0.0039275796619034666
2005-09-29,0.006313511239057784
2005-09-30,-0.00020303053891924046
2005-10-03,-0.0014793312360266231
2005-10-04,-0.00837178024906914
2005-10-05,-0.011922787394199616
2005-10-06,0.0014315229793924796
2005-10-07,0.0005614337337295327
2005-10-10,-0.00637435824517539
2005-10-11,-0.002563514830334202
2005-10-12,-0.008737443154510506
2005-10-13,-0.00034447899237786137
2005-10-14,0.008608167116122025
2005-10-17,0.004178399624437035
2005-10-18,-0.00801752692905115
2005-10-19,0.007190986738313768
2005-10-20,-0.011885626688745578
2005-10-21,0.006152398179889541
2005-10-24,0.01157905080744828
2005-10-25,0.0007514932344129584
2005-10-26,-0.004844644984949681
2005-10-27,-0.006507628634496778
2005-10-28,0.014270296148298115
2005-10-31,0.0012826221583299067
2005-11-01,-0.008747304105295388
2005-11-02,0.008587123397216356
2005-11-03,-0.00025962950261098825
2005-11-04,-0.0026493014260551705
2005-11-07,0.0035624220091019813
2005-11-08,-0.001286613684397842
2005-11-09,0.006099090582515466
2005-11-10,0.009119722476546216
2005-11-11,0.004200669753199378
2005-11-14,-0.002299615061212656
2005-11-15,-0.0019019768049583453
2005-11-16,0.004860216604499349
2005-11-17,0.011085731511667252
2005-11-18,0.003184168919343716
2005-11-21,0.0063326425048512115
2005-11-22,0.006166082589466455
2005-11-23,0.0018277525821155452
2005-11-24,0.0004060913705583586
2005-11-25,0.002558387395448935
2005-11-28,-0.005104482049747987
2005-11-29,0.0012281160588387967
2005-11-30,-0.0061765956014512005
2005-12-01,0.011232354460116835
2005-12-02,-0.00015164609442972447
2005-12-05,0.0013297387217677589
2005-12-06,0.0018963176388139373
2005-12-07,-0.000732618049597643
2005-12-08,0.0031801197770807447
2005-12-09,0.003506884375393304
2005-12-12,0.0010269249944621084
2005-12-13,-0.0013695932439201446
2005-12-14,-0.0030686711186106823
2005-12-15,-0.002835951222921484
2005-12-16,-0.0008590527592002059
2005-12-19,-0.002923894097420377
2005-12-20,-0.005961953641103246
2005-12-21,0.0029532279278669665
2005-12-22,0.007131587449702246
2005-12-23,4.760702033373618e-05
2005-12-26,0.0011477334154321227
2005-12-27,-0.002761994007396831
2005-12-28,0.004661695804682411
2005-12-29,-0.001459159445882363
2005-12-30,-0.002078172029353003
2006-01-02,-6.184890923397535e-05
2006-01-03,0.017045210770452447
