date,probability
2008-03-31,0.035559725016355515
2008-04-30,0.04018183425068855
2008-05-31,0.06816387176513672
2008-06-30,0.011345340870320797
2008-07-31,0.0327344611287117
2008-08-31,0.11916594952344894
2008-09-30,0.01437263935804367
2008-10-31,0.029617009684443474
2008-11-30,0.06583858281373978
2008-12-31,0.06583858281373978
2009-01-31,0.024484185501933098
2009-02-28,0.03786149621009827
2009-03-31,0.12553653120994568
2009-04-30,0.18737345933914185
2009-05-31,0.07668696343898773
2009-06-30,0.07668696343898773
2009-07-31,0.3941577672958374
2009-08-31,0.1266004890203476
2009-09-30,0.6471131443977356
2009-10-31,0.017280124127864838
2009-11-30,0.13898789882659912
2009-12-31,0.016903672367334366
2010-01-31,0.0074675180949270725
2010-02-28,0.2802369296550751
2010-03-31,0.25690680742263794
2010-04-30,0.052073270082473755
2010-05-31,0.03956986591219902
2010-06-30,0.8843937516212463
2010-07-31,0.27220556139945984
2010-08-31,0.07598714530467987
2010-09-30,0.09604384750127792
2010-10-31,0.5960608124732971
2010-11-30,0.021215083077549934
2010-12-31,0.11336295306682587
2011-01-31,0.007246451918035746
2011-02-28,0.02835662290453911
2011-03-31,0.045148540288209915
2011-04-30,0.3426584005355835
2011-05-31,0.7748085856437683
2011-06-30,0.6141623854637146
2011-07-31,0.14198236167430878
2011-08-31,0.11560381948947906
2011-09-30,0.10867059975862503
2011-10-31,0.7544568181037903
2011-11-30,0.382242351770401
2011-12-31,0.022333675995469093
2012-01-31,0.17041060328483582
2012-02-29,0.02982827089726925
2012-03-31,0.011172497645020485
2012-04-30,0.00522986613214016
2012-05-31,0.013863804750144482
2012-06-30,0.1869523674249649
2012-07-31,0.031094476580619812
2012-08-31,0.012491763569414616
2012-09-30,0.18903179466724396
2012-10-31,0.0025921848136931658
2012-11-30,0.08940455317497253
2012-12-31,0.006344721186906099
2013-01-31,0.008570509031414986
2013-02-28,0.003206192050129175
2013-03-31,0.07981058210134506
2013-04-30,0.01034486386924982
2013-05-31,0.012066698633134365
2013-06-30,0.01311066746711731
2013-07-31,0.026174573227763176
2013-08-31,0.002308762399479747
2013-09-30,0.04166984558105469
2013-10-31,0.09694510698318481
2013-11-30,0.005271843168884516
2013-12-31,0.06517796218395233
2014-01-31,0.004000243730843067
2014-02-28,0.08818718791007996
2014-03-31,0.006045364309102297
2014-04-30,0.0018919251160696149
2014-05-31,0.026330022141337395
2014-06-30,0.0014301743358373642
2014-07-31,0.007311517838388681
2014-08-31,0.028866123408079147
2014-09-30,0.001123226247727871
2014-10-31,0.010867176577448845
2014-11-30,0.005117038730531931
2014-12-31,0.0012439234415069222
2015-01-31,0.0022125798277556896
2015-02-28,0.005463244393467903
2015-03-31,0.0028220207896083593
2015-04-30,0.0031099647749215364
2015-05-31,0.03244097903370857
2015-06-30,0.0011254166020080447
2015-07-31,0.03419296070933342
2015-08-31,0.00312795746140182
2015-09-30,0.5586135983467102
2015-10-31,0.05512998253107071
2015-11-30,0.0009680811199359596
2015-12-31,0.002347984118387103
2016-01-31,0.24738439917564392
2016-02-29,0.02832493931055069
2016-03-31,0.04183255508542061
2016-04-30,0.005906438920646906
2016-05-31,0.006873874459415674
2016-06-30,0.002535447711125016
2016-07-31,0.06185576692223549
2016-08-31,0.0008457255898974836
2016-09-30,0.0023085405118763447
2016-10-31,0.002135010901838541
2016-11-30,0.005654667038470507
2016-12-31,0.002406780142337084
2017-01-31,0.004161827266216278
2017-02-28,0.005398651584982872
2017-03-31,0.003487451933324337
2017-04-30,0.12177420407533646
2017-05-31,0.0018512778915464878
2017-06-30,0.0009333516354672611
2017-07-31,0.060676030814647675
2017-08-31,0.0036361783277243376
2017-09-30,0.09210741519927979
2017-10-31,0.00613628001883626
